Table 4 ,,,,,,,,,,,,,,,
"Offenses
Offense Type
by Bias Motivation, 2010",,,,,,,,,,,,,,,
Bias motivation,"Total
offenses",Crimes against persons,,,,,,Crimes against property,,,,,,,"Crimes
against
society1"
,,"Murder and
nonnegligent
manslaughter","Forcible
rape","Aggravated
assault","Simple
assault",Intimidation,Other1,Robbery,Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Destruction/
damage/
vandalism",Other1,
Total,"7,699",7,4,888,"1,681","2,231",13,146,125,175,16,43,"2,321",35,14
Single-Bias Incidents,"7,690",7,4,886,"1,679","2,231",13,146,125,173,16,43,"2,318",35,14
Race:,"3,725",1,2,444,755,"1,227",5,53,61,84,7,12,"1,045",18,11
Anti-White,679,0,2,92,192,157,3,32,22,49,6,0,111,10,3
Anti-Black,"2,600",1,0,315,486,933,2,19,25,16,1,11,781,5,5
Anti-American Indian/Alaskan Native,45,0,0,3,12,2,0,1,1,17,0,0,5,3,1
Anti-Asian/Pacific Islander,190,0,0,15,42,73,0,0,7,1,0,0,52,0,0
"Anti-Multiple Races, Group",211,0,0,19,23,62,0,1,6,1,0,1,96,0,2
Religion:,"1,409",3,0,35,133,321,1,11,29,38,1,17,816,4,0
Anti-Jewish,922,0,0,12,65,201,0,9,6,8,0,2,619,0,0
Anti-Catholic,61,0,0,0,5,7,0,0,6,10,1,0,31,1,0
Anti-Protestant,46,0,0,0,1,3,0,0,5,3,0,1,33,0,0
Anti-Islamic,186,0,0,17,46,69,0,1,1,3,0,1,47,1,0
Anti-Other Religion,134,3,0,4,11,25,1,1,9,8,0,12,59,1,0
"Anti-Multiple Religions, Group",53,0,0,2,5,15,0,0,1,5,0,1,23,1,0
Anti-Atheism/Agnosticism/etc.,7,0,0,0,0,1,0,0,1,1,0,0,4,0,0
Sexual Orientation:,"1,470",2,1,247,495,331,6,56,19,24,4,7,273,5,0
Anti-Male Homosexual,851,1,0,158,301,190,3,39,6,12,1,5,134,1,0
Anti-Female Homosexual,167,0,1,23,40,52,3,2,4,2,1,0,39,0,0
Anti-Homosexual,403,0,0,58,139,84,0,15,8,3,1,2,92,1,0
Anti-Heterosexual,21,0,0,3,7,1,0,0,0,1,0,0,8,1,0
Anti-Bisexual,28,1,0,5,8,4,0,0,1,6,1,0,0,2,0
Ethnicity/National Origin:,"1,040",1,1,154,276,347,0,23,15,20,4,7,183,7,2
Anti-Hispanic,681,1,1,112,183,227,0,16,9,11,3,5,105,7,1
Anti-Other Ethnicity/National Origin,359,0,0,42,93,120,0,7,6,9,1,2,78,0,1
Disability:,46,0,0,6,20,5,1,3,1,7,0,0,1,1,1
Anti-Physical,22,0,0,4,8,5,1,0,0,3,0,0,0,0,1
Anti-Mental,24,0,0,2,12,0,0,3,1,4,0,0,1,1,0
Multiple-Bias Incidents2,9,0,0,2,2,0,0,0,0,2,0,0,3,0,0
1 Includes additional offenses collected in the National Incident-Based Reporting System.  See Methodology.,,,,,,,,,,,,,,,
"2 In a multiple-bias incident, two conditions must be met:  (a) more than one offense type must occur in the incident and (b) at least two offense types must be motivated by different biases.",,,,,,,,,,,,,,,
