Table 4,,,,,,,,,,,,,,,
Offenses,,,,,,,,,,,,,,,
"Offense Type
by Bias Motivation, 2011",,,,,,,,,,,,,,,
Bias motivation,"Total
offenses",Crimes against persons,,,,,,Crimes against property,,,,,,,"Crimes
against
society1"
,,"Murder and
nonnegligent
manslaughter","Forcible
rape","Aggravated
assault","Simple
assault",Intimidation,Other1,Robbery,Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Destruction/
damage/
vandalism",Other1,
Total,"7,254",4,7,895,"1,595","2,106",16,131,124,152,6,42,"2,125",31,20
Single-Bias Incidents,"7,240",4,7,893,"1,593","2,101",16,131,124,152,6,41,"2,121",31,20
Race:,"3,465",1,3,470,752,"1,135",4,50,52,76,5,15,868,19,15
Anti-White,577,0,1,91,171,147,1,24,9,41,3,1,77,10,1
Anti-Black,"2,494",1,1,347,500,897,3,21,34,19,1,10,647,1,12
Anti-American Indian/Alaskan Native,67,0,0,12,20,4,0,1,0,11,1,0,10,6,2
Anti-Asian/Pacific Islander,165,0,1,9,45,56,0,1,3,5,0,1,42,2,0
"Anti-Multiple Races, Group",162,0,0,11,16,31,0,3,6,0,0,3,92,0,0
Religion:,"1,318",0,0,36,108,291,3,5,29,49,0,13,780,4,0
Anti-Jewish,820,0,0,15,43,187,0,3,7,13,0,3,549,0,0
Anti-Catholic,68,0,0,0,3,3,0,0,4,11,0,1,46,0,0
Anti-Protestant,49,0,0,4,4,1,0,0,6,2,0,1,30,1,0
Anti-Islamic,175,0,0,14,41,70,0,1,1,7,0,2,39,0,0
Anti-Other Religion,139,0,0,3,8,23,3,1,8,3,0,5,84,1,0
"Anti-Multiple Religions, Group",63,0,0,0,9,7,0,0,3,11,0,1,31,1,0
Anti-Atheism/Agnosticism/etc.,4,0,0,0,0,0,0,0,0,2,0,0,1,1,0
Sexual Orientation:,"1,508",3,2,252,491,380,6,54,17,17,0,8,275,2,1
Anti-Male Homosexual,871,3,0,162,291,218,5,33,9,6,0,5,138,0,1
Anti-Female Homosexual,168,0,2,28,42,56,0,3,1,1,0,0,35,0,0
Anti-Homosexual,429,0,0,60,142,99,1,17,5,7,0,2,96,0,0
Anti-Heterosexual,17,0,0,2,5,3,0,1,2,0,0,0,3,1,0
Anti-Bisexual,23,0,0,0,11,4,0,0,0,3,0,1,3,1,0
Ethnicity/National Origin:,891,0,1,128,226,280,0,22,25,8,1,5,190,2,3
Anti-Hispanic,506,0,1,82,144,153,0,17,11,4,0,3,87,2,2
Anti-Other Ethnicity/National Origin,385,0,0,46,82,127,0,5,14,4,1,2,103,0,1
Disability:,58,0,1,7,16,15,3,0,1,2,0,0,8,4,1
Anti-Physical,23,0,0,0,7,5,2,0,0,1,0,0,4,4,0
Anti-Mental,35,0,1,7,9,10,1,0,1,1,0,0,4,0,1
Multiple-Bias Incidents2,14,0,0,2,2,5,0,0,0,0,0,1,4,0,0
1 Includes additional offenses collected in the National Incident-Based Reporting System.  See Methodology.,,,,,,,,,,,,,,,
"2 In a multiple-bias incident, two conditions must be met:  (a) more than one offense type must occur in the incident and (b) at least two offense types must be motivated by different biases.",,,,,,,,,,,,,,,
