Bias_motivation,Total_offenses,Murder_and_nonnegligent_manslaughter,Forcible_rape,Aggravated_assault,Simple_assault,Intimidation,Other1,Robbery,Burglary,Larceny_theft,Motor_vehicle_theft,Arson,Destruction_damage_vandalism,Other1,Crimes_against_society
Total,"6,718",10,15,854,"1,570","1,489",30,126,142,258,23,38,"1,906",54,203
Single-Bias Incidents,"6,705",10,15,853,"1,564","1,487",30,126,141,258,23,37,"1,904",54,203
Race:,"3,297",1,4,448,754,829,10,50,69,136,13,14,787,25,157
Anti-White,739,1,1,95,199,121,6,23,29,85,10,3,94,20,52
Anti-Black,"2,180",0,0,317,481,635,1,20,28,22,2,8,574,0,92
Anti-American Indian/Alaskan Native,109,0,3,10,22,8,3,3,6,21,1,0,18,4,10
Anti-Asian/Pacific Islander,134,0,0,18,29,33,0,3,3,6,0,3,38,1,0
"Anti-Multiple Races, Group",135,0,0,8,23,32,0,1,3,2,0,0,63,0,3
Religion:,"1,166",8,0,44,128,158,3,4,18,64,4,14,692,14,15
Anti-Jewish,696,0,0,11,72,87,1,2,10,17,1,2,486,5,2
Anti-Catholic,79,0,0,10,4,7,1,0,0,11,0,2,38,3,3
Anti-Protestant,34,0,0,0,1,1,0,1,1,9,1,2,16,1,1
Anti-Islamic,149,2,0,14,41,43,1,0,1,4,0,4,39,0,0
Anti-Other Religion,107,6,0,8,4,16,0,0,2,2,1,2,63,1,2
"Anti-Multiple Religions, Group",89,0,0,1,4,4,0,1,3,18,0,2,48,4,4
Anti-Atheism/Agnosticism/etc.,12,0,0,0,2,0,0,0,1,3,1,0,2,0,3
Sexual Orientation:,"1,318",1,10,211,453,262,11,50,23,24,3,6,249,5,10
Anti-Male Homosexual,720,1,4,114,285,141,4,39,8,5,1,4,112,2,0
Anti-Female Homosexual,162,0,4,14,45,43,1,1,2,5,2,0,43,0,2
Anti-Homosexual,369,0,1,75,111,70,0,10,8,6,0,1,84,1,2
Anti-Heterosexual,26,0,0,1,3,3,6,0,1,2,0,1,6,1,2
Anti-Bisexual,41,0,1,7,9,5,0,0,4,6,0,0,4,1,4
Ethnicity/National Origin:,822,0,1,131,196,230,5,21,28,21,2,3,165,4,15
Anti-Hispanic,488,0,1,89,127,127,3,16,15,13,2,1,81,2,11
Anti-Other Ethnicity/National Origin,334,0,0,42,69,103,2,5,13,8,0,2,84,2,4
Disability:,102,0,0,19,33,8,1,1,3,13,1,0,11,6,6
Anti-Physical,20,0,0,4,9,3,0,0,0,1,1,0,0,1,1
Anti-Mental,82,0,0,15,24,5,1,1,3,12,0,0,11,5,5
Multiple-Bias Incidents2,13,0,0,1,6,2,0,0,1,0,0,1,2,0,0
