Bias_motivation,Total_offenses,Murder_and_nonnegligent_manslaughter,Rape,Aggravated_assault,Simple_assault,Intimidation,Other_crimes_against_persons,Robbery,Burglary,Larceny_theft,Motor_vehicle_theft,Arson,Destruction_damage_vandalism,Other_crimes_against_properties,Crimes_against_society
Total,"6,933",5,21,734,"1,720","1,925",25,126,174,225,20,36,"1,783",60,79
Single-Bias Incidents,"6,921",5,21,733,"1,717","1,922",25,125,174,225,20,36,"1,779",60,79
Race,"3,407",2,7,398,750,"1,087",15,54,91,126,11,17,759,36,54
Anti-White,728,1,6,79,194,155,9,24,32,75,6,4,98,17,28
Anti-Black or African American,"2,263",1,0,288,478,829,2,23,36,16,1,11,557,7,14
Anti-American Indian or Alaska Native,146,0,0,11,16,26,1,3,16,27,4,0,22,10,10
Anti-Asian,158,0,1,15,43,43,2,4,6,5,0,2,34,2,1
Anti-Native Hawaiian or Other Pacific Islander,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"Anti-Multiple Races, Group",109,0,0,4,18,33,1,0,1,3,0,0,48,0,1
Religion,"1,163",0,2,23,134,255,1,3,29,38,1,17,649,6,5
Anti-Jewish,689,0,0,5,72,152,0,1,6,11,0,4,437,1,0
Anti-Catholic,74,0,0,0,6,11,0,0,6,9,0,3,36,1,2
Anti-Protestant,42,0,0,0,0,3,0,0,6,5,0,3,24,1,0
Anti-Islamic (Muslim),165,0,1,17,41,53,0,2,2,2,0,1,43,2,1
Anti-Other Religion,135,0,1,1,11,26,1,0,5,4,1,5,78,1,1
"Anti-Multiple Religions, Group",51,0,0,0,3,10,0,0,3,6,0,1,27,0,1
Anti-Atheism/Agnosticism/etc.,7,0,0,0,1,0,0,0,1,1,0,0,4,0,0
Sexual Orientation,"1,402",2,7,193,547,318,1,47,30,17,3,2,223,8,4
Anti-Gay (Male),849,2,0,120,359,188,0,30,23,4,0,2,115,6,0
Anti-Lesbian,185,0,4,24,66,56,0,3,0,3,0,0,28,1,0
"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",317,0,1,47,111,58,0,13,3,4,2,0,76,1,1
Anti-Heterosexual,24,0,1,0,6,6,1,0,3,2,0,0,2,0,3
Anti-Bisexual,27,0,1,2,5,10,0,1,1,4,1,0,2,0,0
Ethnicity,794,1,1,103,241,235,6,15,18,23,3,0,132,7,9
Anti-Hispanic or Latino,418,1,1,79,118,128,0,11,9,7,1,0,55,4,4
Anti-Not Hispanic or Latino4,376,0,0,24,123,107,6,4,9,16,2,0,77,3,5
Disability,92,0,1,6,16,21,2,3,5,17,1,0,11,3,6
Anti-Physical,23,0,1,1,5,5,0,2,0,6,0,0,2,1,0
Anti-Mental,69,0,0,5,11,16,2,1,5,11,1,0,9,2,6
Gender,30,0,2,2,19,2,0,0,0,2,1,0,1,0,1
Anti-Male,5,0,0,1,1,0,0,0,0,1,1,0,1,0,0
Anti-Female,25,0,2,1,18,2,0,0,0,1,0,0,0,0,1
Gender Identity,33,0,1,8,10,4,0,3,1,2,0,0,4,0,0
Anti-Transgender,25,0,0,8,7,4,0,3,1,0,0,0,2,0,0
Anti-Gender Non-Conforming,8,0,1,0,3,0,0,0,0,2,0,0,2,0,0
Multiple-Bias Incidents5,12,0,0,1,3,3,0,1,0,0,0,0,4,0,0
