,State,Year,GDP
0,Alabama,1998,149568.2
1,Alaska,1998,41095.9
2,Arizona,1998,183060.5
3,Arkansas,1998,84570.8
4,California,1998,1468730.8
5,Colorado,1998,200679.7
6,Connecticut,1998,196391.1
7,Delaware,1998,50434.3
8,District of Columbia,1998,81214.4
9,Florida,1998,587970.7
10,Georgia,1998,352472.3
11,Hawaii,1998,54404.8
12,Idaho,1998,38795.3
13,Illinois,1998,595615.8
14,Indiana,1998,245675.7
15,Iowa,1998,114087.4
16,Kansas,1998,108183.6
17,Kentucky,1998,150774.4
18,Louisiana,1998,207611.6
19,Maine,1998,44140.2
20,Maryland,1998,231806.4
21,Massachusetts,1998,315040.3
22,Michigan,1998,406051.6
23,Minnesota,1998,223654.5
24,Mississippi,1998,85193.8
25,Missouri,1998,231693.3
26,Montana,1998,30342.4
27,Nebraska,1998,72089.6
28,Nevada,1998,94672.8
29,New Hampshire,1998,51538.7
30,New Jersey,1998,433564.0
31,New Mexico,1998,66944.0
32,New York,1998,997251.9
33,North Carolina,1998,326786.2
34,North Dakota,1998,23674.9
35,Ohio,1998,487532.8
36,Oklahoma,1998,117596.0
37,Oregon,1998,123994.7
38,Pennsylvania,1998,509550.8
39,Rhode Island,1998,41912.5
40,South Carolina,1998,139526.3
41,South Dakota,1998,26440.4
42,Tennessee,1998,223711.3
43,Texas,1998,925556.7
44,Utah,1998,85724.8
45,Vermont,1998,20678.0
46,Virginia,1998,315091.0
47,Washington,1998,288206.9
48,West Virginia,1998,59847.4
49,Wisconsin,1998,216955.9
50,Wyoming,1998,25530.4
51,Alabama,1999,154900.2
52,Alaska,1999,40590.5
53,Arizona,1999,198699.9
54,Arkansas,1999,89115.2
55,California,1999,1574305.9
56,Colorado,1999,215294.6
57,Connecticut,1999,202351.7
58,Delaware,1999,54236.7
59,District of Columbia,1999,84756.2
60,Florida,1999,615238.2
61,Georgia,1999,377127.4
62,Hawaii,1999,54852.1
63,Idaho,1999,42510.4
64,Illinois,1999,618148.4
65,Indiana,1999,254089.2
66,Iowa,1999,116523.0
67,Kansas,1999,111005.5
68,Kentucky,1999,155611.5
69,Louisiana,1999,211952.5
70,Maine,1999,46351.4
71,Maryland,1999,240946.2
72,Massachusetts,1999,331602.3
73,Michigan,1999,429936.2
74,Minnesota,1999,232068.1
75,Mississippi,1999,87638.0
76,Missouri,1999,238452.0
77,Montana,1999,30461.3
78,Nebraska,1999,73625.7
79,Nevada,1999,101394.7
80,New Hampshire,1999,53084.5
81,New Jersey,1999,447872.1
82,New Mexico,1999,70487.9
83,New York,1999,1051337.6
84,North Carolina,1999,345457.6
85,North Dakota,1999,23770.7
86,Ohio,1999,499292.8
87,Oklahoma,1999,119685.4
