,State,Year,Incidents
0,Alabama,2006,1
1,Alaska,2006,6
2,Arizona,2006,149
3,Arkansas,2006,113
4,California,2006,1297
5,Colorado,2006,138
6,Connecticut,2006,131
7,Delaware,2006,48
8,District Of Columbia,2006,57
9,Florida,2006,216
10,Georgia,2006,13
11,Idaho,2006,23
12,Illinois,2006,156
13,Indiana,2006,39
14,Iowa,2006,28
15,Kansas,2006,109
16,Kentucky,2006,64
17,Louisiana,2006,22
18,Maine,2006,59
19,Maryland,2006,212
20,Massachusetts,2006,379
21,Michigan,2006,653
22,Minnesota,2006,137
23,Missouri,2006,78
24,Montana,2006,24
25,Nebraska,2006,56
26,Nevada,2006,125
27,New Hampshire,2006,34
28,New Jersey,2006,759
29,New Mexico,2006,20
30,New York,2006,522
31,North Carolina,2006,100
32,North Dakota,2006,16
33,Ohio,2006,300
34,Oklahoma,2006,51
35,Oregon,2006,141
36,Pennsylvania,2006,97
37,Rhode Island,2006,19
38,South Carolina,2006,110
39,South Dakota,2006,76
40,Tennessee,2006,202
41,Texas,2006,245
42,Utah,2006,35
43,Vermont,2006,21
44,Virginia,2006,341
45,Washington,2006,177
46,West Virginia,2006,34
47,Wisconsin,2006,84
48,Wyoming,2006,5
49,Outlying Areas,2006,4
50,Alabama,2007,6
51,Alaska,2007,8
52,Arizona,2007,161
53,Arkansas,2007,33
54,California,2007,1400
55,Colorado,2007,156
56,Connecticut,2007,127
57,Delaware,2007,49
58,District Of Columbia,2007,41
59,Florida,2007,166
60,Georgia,2007,13
61,Idaho,2007,38
62,Illinois,2007,167
63,Indiana,2007,40
64,Iowa,2007,27
65,Kansas,2007,110
66,Kentucky,2007,48
67,Louisiana,2007,31
68,Maine,2007,72
69,Maryland,2007,150
70,Massachusetts,2007,353
71,Michigan,2007,628
72,Minnesota,2007,157
73,Missouri,2007,114
74,Montana,2007,21
75,Nebraska,2007,44
76,Nevada,2007,63
77,New Hampshire,2007,43
78,New Jersey,2007,748
79,New Mexico,2007,14
80,New York,2007,493
81,North Carolina,2007,75
82,North Dakota,2007,14
83,Ohio,2007,312
84,Oklahoma,2007,30
85,Oregon,2007,170
86,Pennsylvania,2007,83
87,Rhode Island,2007,47
88,South Carolina,2007,127
89,South Dakota,2007,37
