,State,Year,Population,GDP,Incidents,Temperature,Marriage_Rate,Education_Rate,Is_Covid
0,Alabama,2006,4628981,187270.8,1,64.2,9.2,26.9,0
1,Alaska,2006,675302,49190.2,6,26.4,8.2,21.1,0
2,Arizona,2006,6029141,274179.4,149,61.1,6.5,18.2,0
3,Arkansas,2006,2821761,108460.6,113,62.0,12.4,25.5,0
4,California,2006,36021202,2002437.4,1297,58.6,6.3,29.0,0
5,Colorado,2006,4720423,257430.2,138,46.5,7.2,34.3,0
6,Connecticut,2006,3517460,248233.8,131,51.1,5.5,33.7,0
7,Delaware,2006,859268,60624.3,48,57.3,5.9,27.0,0
8,Florida,2006,18166990,839963.8,216,71.4,8.6,25.3,0
9,Georgia,2006,9155813,453032.1,13,64.5,7.3,26.6,0
10,Idaho,2006,1468669,57613.7,23,44.2,10.1,24.0,0
11,Illinois,2006,12643955,704827.6,156,54.0,6.2,23.3,0
12,Indiana,2006,6332669,296112.7,39,53.4,7.0,28.9,0
13,Iowa,2006,2982644,146555.3,28,50.4,6.7,21.7,0
14,Kansas,2006,2762931,130364.5,109,56.9,6.8,28.6,0
15,Kentucky,2006,4219239,175657.7,64,56.8,8.4,20.0,0
16,Louisiana,2006,4302665,245500.2,22,67.8,7.17112758258429,20.3,0
17,Maine,2006,1323619,55448.4,59,44.0,7.8,37.0,0
18,Maryland,2006,5627367,305794.1,212,56.5,6.6,35.1,0
19,Massachusetts,2006,6410084,395535.8,379,50.1,5.9,25.8,0
20,Michigan,2006,10036081,449853.5,653,47.0,5.9,24.5,0
21,Minnesota,2006,5163555,284382.0,137,44.4,6.0,30.4,0
22,Missouri,2006,5842704,267221.1,78,56.8,6.9,18.8,0
23,Montana,2006,952692,38577.6,24,44.4,7.4,27.4,0
24,Nebraska,2006,1772693,91832.7,56,51.1,6.8,24.8,0
25,Nevada,2006,2522658,142967.1,125,50.8,52.1,25.6,0
26,New Hampshire,2006,1308389,66628.2,34,45.8,7.2,26.9,0
27,New Jersey,2006,8661679,516681.4,759,55.0,5.5,31.9,0
28,New Mexico,2006,1962137,86058.4,20,54.7,6.8,33.4,0
29,New York,2006,19104631,1199276.9,522,47.6,6.9,25.3,0
30,North Carolina,2006,8917270,434209.2,100,59.8,7.3,20.8,0
31,North Dakota,2006,649422,30590.1,16,43.8,6.7,31.2,0
32,Ohio,2006,11481213,545504.1,300,52.7,6.3,23.0,0
33,Oklahoma,2006,3594090,152857.7,51,62.2,7.3,22.1,0
34,Oregon,2006,3670883,166107.2,141,48.0,7.3,27.5,0
35,Pennsylvania,2006,12510809,597219.2,97,50.8,5.7,25.4,0
36,Rhode Island,2006,1063096,52899.6,19,51.8,6.6,29.6,0
37,South Carolina,2006,4357847,173370.9,110,63.6,7.8,22.7,0
38,South Dakota,2006,783033,36350.8,76,48.1,8.0,24.8,0
39,Tennessee,2006,6088766,274879.2,202,58.9,10.6,21.7,0
40,Texas,2006,23359580,1228547.3,245,67.1,7.6,24.7,0
41,Utah,2006,2525507,118482.3,35,49.2,9.2,28.6,0
42,Vermont,2006,622892,27128.8,21,45.1,8.6,32.7,0
43,Virginia,2006,7673725,419870.6,341,56.6,7.8,32.4,0
44,Washington,2006,6370753,353263.5,177,47.5,6.5,30.5,0
45,West Virginia,2006,1827912,66861.4,34,53.0,7.3,25.1,0
46,Wisconsin,2006,5577655,268246.4,84,46.0,6.0,16.5,0
47,Wyoming,2006,522667,37813.4,5,43.2,9.3,22.7,0
48,Alabama,2007,4672840,189002.5,6,64.4,8.9,26.0,0
49,Alaska,2007,680300,51721.0,8,28.1,8.5,21.4,0
