Agency name,"No. of
quarters
reported",Race,Religion,"Sexual
orientation",Ethnicity,Disability
ALASKA,,4,0,0,0,0
Cities,,4,0,0,0,0
Anchorage,4,4,0,0,0,0
ARIZONA,,61,27,23,27,0
Cities,,53,22,19,18,0
Apache Junction,4,0,1,1,0,0
Chandler,4,3,0,0,1,0
Flagstaff,4,1,0,1,0,0
Gilbert,4,2,1,1,1,0
Glendale,3,7,3,0,4,0
Goodyear,4,1,0,1,0,0
Holbrook,4,0,1,0,0,0
Kingman,4,1,0,0,0,0
Mesa,2,19,1,4,4,0
Oro Valley,4,1,1,0,0,0
Paradise Valley,4,0,1,0,0,0
Prescott,3,1,0,2,0,0
Prescott Valley,4,0,0,1,1,0
Scottsdale,4,0,2,0,0,0
Sierra Vista,4,3,0,0,1,0
Tempe,4,5,2,2,1,0
Tucson,4,8,8,6,5,0
Yuma,4,1,1,0,0,0
Universities and Colleges,,5,4,3,4,0
"Arizona State University, Main Campus",4,1,1,0,0,0
Northern Arizona University,3,2,0,1,0,0
University of Arizona,4,2,3,2,4,0
Metropolitan Counties,,2,1,1,5,0
Pima,3,1,1,0,1,0
Pinal,4,1,0,0,1,0
Yavapai,4,0,0,0,3,0
Yuma,4,0,0,1,0,0
Nonmetropolitan Counties,,1,0,0,0,0
Mohave,4,1,0,0,0,0
ARKANSAS,,97,10,16,11,0
Cities,,79,8,13,7,0
Arkadelphia,4,1,0,1,0,0
Ashdown,4,1,0,0,0,0
Atkins,4,4,0,0,1,0
Barling,4,1,0,0,0,0
Bearden,4,2,0,0,0,0
Blytheville,4,3,1,0,0,0
Booneville,4,1,0,0,0,0
Camden,4,2,2,0,0,0
Charleston,4,1,0,0,0,0
Crossett,4,1,0,0,0,0
Dardanelle,4,1,0,0,0,0
Diaz,3,3,0,0,0,0
Dierks,4,0,0,0,1,0
England,4,2,0,0,0,0
Farmington,4,1,0,0,0,0
Fayetteville,4,0,0,1,0,0
Flippin,4,1,0,1,0,0
Fort Smith,4,7,0,2,3,0
Gentry,4,4,0,0,1,0
Gould,4,2,0,0,0,0
Greers Ferry,4,1,0,0,0,0
Gurdon,4,2,0,0,0,0
Harrison,4,1,0,0,0,0
Hope,4,3,0,0,0,0
Horseshoe Bend,4,1,0,0,0,0
Hot Springs,4,1,0,0,0,0
Hoxie,4,1,0,0,0,0
Jonesboro,4,3,1,1,0,0
Kensett,4,1,0,0,0,0
Lakeview,4,1,0,0,0,0
Magnolia,4,1,0,7,0,0
Marion,4,4,0,0,0,0
Marked Tree,4,1,0,0,0,0
Marmaduke,4,0,1,0,0,0
McGehee,4,1,0,0,0,0
Monticello,4,1,0,0,0,0
Morrilton,4,1,1,0,1,0
Nashville,4,1,0,0,0,0
Paragould,4,3,0,0,0,0
Paris,4,2,0,0,0,0
Quitman,4,1,0,0,0,0
Salem,4,1,0,0,0,0
Star City,4,1,0,0,0,0
Stuttgart,4,1,1,0,0,0
Trumann,4,1,0,0,0,0
Ward,4,1,0,0,0,0
West Helena,4,1,0,0,0,0
West Memphis,4,4,1,0,0,0
Universities and Colleges,,1,1,1,0,0
"Arkansas State University, Jonesboro",4,0,1,0,0,0
"University of Arkansas, Monticello",4,1,0,0,0,0
University of Central Arkansas,4,0,0,1,0,0
Metropolitan Counties,,5,1,2,1,0
Craighead,4,1,1,0,0,0
Garland,4,3,0,1,0,0
Madison,4,0,0,1,0,0
Perry,4,1,0,0,0,0
Washington,4,0,0,0,1,0
Nonmetropolitan Counties,,12,0,0,3,0
Baxter,4,1,0,0,0,0
Bradley,4,1,0,0,0,0
Drew,4,3,0,0,0,0
Jackson,4,0,0,0,1,0
Lawrence,4,1,0,0,0,0
Pike,4,2,0,0,0,0
Polk,4,3,0,0,0,0
Prairie,4,1,0,0,0,0
White,4,0,0,0,1,0
Yell,4,0,0,0,1,0
CALIFORNIA,,680,205,255,236,3
Cities,,569,173,230,194,3
Agoura Hills,4,0,3,0,0,0
Alameda,4,3,0,0,0,0
Albany,4,2,1,0,0,0
Alhambra,4,0,0,1,1,0
Aliso Viejo,4,1,0,0,0,0
Anaheim,4,1,1,0,1,0
Anderson,4,2,0,0,0,0
Arcata,4,0,0,1,0,0
Artesia,4,1,0,0,0,0
Atascadero,4,2,0,0,0,0
Avalon,4,1,0,0,1,0
Azusa,4,5,0,0,0,0
Bakersfield,4,2,1,1,2,0
Baldwin Park,4,1,0,0,0,0
Beaumont,4,1,0,0,0,0
Bellflower,4,4,0,2,1,0
Berkeley,4,3,1,4,0,0
Beverly Hills,4,2,0,0,0,0
Bishop,4,1,0,1,2,0
Blythe,4,1,0,0,0,0
Brea,4,3,0,0,0,0
Brentwood,4,1,0,0,0,0
Buena Park,4,1,0,0,0,0
Burbank,4,1,0,0,1,0
Burlingame,4,1,0,0,0,0
Calabasas,4,1,1,0,1,0
Camarillo,4,0,3,0,0,0
Canyon Lake,4,1,0,0,0,0
Carmel,4,0,0,0,1,0
Carson,4,2,0,0,0,0
Ceres,4,1,0,0,0,0
Cerritos,4,2,0,0,0,0
Chico,4,4,1,3,0,0
Chino,4,13,0,0,1,0
Chino Hills,4,1,0,0,0,0
Claremont,4,4,0,0,0,0
Clovis,4,4,0,0,3,0
Commerce,4,0,1,0,0,0
Compton,4,1,0,0,3,0
Concord,4,1,1,0,0,0
Corona,4,8,0,0,0,0
Covina,4,4,0,0,3,0
Cupertino,4,1,3,0,0,0
Cypress,4,1,0,0,0,0
Danville,4,2,0,0,0,0
Davis,4,2,0,2,0,0
Delano,4,0,0,0,1,0
Desert Hot Springs,4,1,0,0,0,0
Dixon,4,1,0,0,0,0
Downey,4,0,1,1,2,0
Duarte,4,1,0,0,0,0
Dublin,4,1,0,0,0,0
El Cajon,4,3,0,1,0,0
El Cerrito,4,0,1,0,0,0
El Monte,4,6,0,0,0,0
El Segundo,4,2,1,0,0,0
Encinitas,4,0,0,1,0,0
Eureka,4,0,2,0,0,0
Fairfield,4,0,2,0,1,0
Fillmore,4,0,0,0,1,0
