State,Agency type,Agency name,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",
Alaska,Total,,4,2,0,1,0,0,,,,,
,Cities,,4,2,0,1,0,0,,,,,
,,Anchorage,1,0,0,0,0,0,0,0,1,0,"291,992"
,,Fairbanks,2,0,0,1,0,0,1,1,1,0,"31,635"
,,Juneau,0,2,0,0,0,0,0,0,2,0,"31,922"
,,Kotzebue,1,0,0,0,0,0,0,1,0,0,"3,273"
Arizona,Total,,95,34,37,2,2,3,,,,,
,Cities,,93,33,37,2,2,3,,,,,
,,Avondale,1,0,0,0,0,0,,1,0,0,"85,204"
,,Coolidge,2,0,0,0,0,0,0,0,0,2,"12,815"
,,Flagstaff,1,0,1,0,0,0,0,2,0,0,"72,852"
,,Gilbert,1,0,0,0,0,0,0,0,1,0,"247,463"
,,Glendale,7,0,1,0,0,0,3,1,1,3,"249,799"
,,Maricopa,1,0,0,0,0,0,0,1,0,0,"48,660"
,,Mesa,2,0,1,0,0,0,2,1,0,0,"504,873"
,,Page,2,0,1,0,0,0,1,1,1,0,"7,576"
,,Peoria,1,0,0,0,0,0,0,1,0,0,"170,177"
,,Phoenix3,59,24,25,1,1,2,35,26,18,27,"1,653,080"
,,Prescott,1,0,0,0,0,0,1,0,0,0,"43,172"
,,Scottsdale,2,2,1,0,0,0,1,1,1,2,"254,961"
,,St. Johns,0,1,0,0,0,0,0,0,1,0,"3,510"
,,Surprise,1,2,0,0,0,0,0,1,2,0,"136,611"
,,Tempe,0,1,0,0,0,0,1,0,0,0,"188,543"
,,Tucson3,7,2,6,1,1,1,5,4,8,0,"537,392"
,,Yuma,5,1,1,0,0,0,1,2,2,2,"96,121"
,Universities and Colleges,,1,1,0,0,0,0,,,,,
,,University of Arizona,1,1,0,0,0,0,1,1,0,0,"47,648"
,Nonmetropolitan Counties,,1,0,0,0,0,0,,,,,
,,La Paz,1,0,0,0,0,0,0,0,0,1,
Arkansas,Total,,10,1,1,1,0,0,,,,,
,Cities,,8,1,1,1,0,0,,,,,
,,Benton,1,0,0,0,0,0,0,1,0,0,"36,556"
,,Fort Smith,2,0,1,0,0,0,2,1,0,0,"88,290"
,,Hot Springs,1,0,0,0,0,0,1,0,0,0,"37,006"
,,Newport,1,0,0,0,0,0,0,0,0,1,"7,654"
,,Rogers,2,0,0,0,0,0,0,1,1,0,"68,026"
,,Sherwood,1,1,0,0,0,0,0,1,0,1,"31,284"
,,Springdale,0,0,0,1,0,0,1,0,0,0,"73,496"
,Metropolitan Counties,,1,0,0,0,0,0,,,,,
,,Pulaski,1,0,0,0,0,0,0,0,1,0,
,Nonmetropolitan Counties,,1,0,0,0,0,0,,,,,
,,Sevier,1,0,0,0,0,0,0,1,0,0,
California,Total,,596,199,239,7,4,20,,,,,
,Cities,,538,183,209,5,3,16,,,,,
,,Alameda,3,3,1,0,0,0,3,2,2,0,"79,951"
,,Albany,2,1,1,0,0,0,2,0,0,2,"20,379"
,,American Canyon,0,1,0,0,0,0,0,1,0,0,"20,339"
,,Anaheim,0,0,2,0,0,0,1,0,1,0,"354,743"
,,Antioch,1,1,0,0,0,0,0,1,0,1,"112,956"
,,Apple Valley,1,0,0,0,0,0,1,0,0,0,"73,631"
,,Arvin,1,0,0,0,0,0,0,0,1,0,"21,560"
,,Azusa,3,0,0,0,0,0,0,1,1,1,"50,393"
,,Bakersfield,3,6,1,0,0,0,6,2,2,0,"385,609"
,,Baldwin Park,1,0,0,0,0,0,1,0,0,0,"76,541"
,,Beaumont,1,0,0,0,0,0,0,1,0,0,"48,559"
,,Bell,1,0,1,0,0,0,1,0,,1,"35,857"
,,Bellflower,1,0,0,0,0,0,0,1,0,0,"77,937"
,,Bell Gardens,1,0,0,0,0,0,1,0,0,0,"42,845"
,,Berkeley,8,5,4,0,0,0,5,3,5,4,"123,735"
,,Beverly Hills,2,3,0,0,0,0,0,1,2,2,"34,557"
,,Brea,0,1,0,0,0,0,0,0,1,0,"43,279"
,,Brentwood,3,0,0,0,0,0,0,3,0,0,"64,118"
,,Buena Park,1,0,1,0,0,0,0,0,0,2,"83,336"
,,Burbank,4,4,2,0,0,0,5,0,1,4,"105,041"
,,Calabasas,0,2,0,0,0,0,0,1,1,0,"24,309"
,,Calimesa,1,0,0,0,0,0,0,0,1,0,"8,953"
,,Camarillo,2,0,0,0,0,0,1,1,0,0,"68,218"
,,Capitola,0,0,1,0,0,0,1,0,0,0,"10,218"
,,Carlsbad,4,2,0,0,0,0,3,1,2,0,"116,739"
,,Carson,1,0,0,0,0,0,1,0,0,0,"92,895"
,,Central Marin,1,0,0,0,0,0,1,0,0,0,"35,033"
,,Chino Hills,1,0,0,0,0,0,1,0,0,0,"81,177"
,,Chula Vista,1,1,0,0,0,0,0,0,1,1,"274,370"
,,Citrus Heights,3,0,0,0,0,0,1,0,2,0,"88,603"
,,Claremont,1,0,0,0,0,0,0,0,0,1,"36,178"
,,Clayton,1,0,0,0,0,0,0,0,1,0,"12,330"
,,Clearlake,2,0,0,0,0,0,1,0,1,0,"15,037"
,,Clovis,0,0,0,0,0,1,1,0,0,0,"111,759"
,,Commerce,0,0,1,0,0,0,0,1,0,0,"12,961"
,,Compton,3,0,0,0,0,0,0,1,2,0,"97,775"
,,Corning,0,0,1,0,0,0,1,0,0,0,"7,580"
,,Corona,1,1,0,0,0,0,1,0,1,0,"170,041"
,,Cupertino,0,1,1,0,0,0,1,0,0,1,"61,078"
,,Cypress,2,0,0,0,0,0,0,2,0,0,"49,223"
,,Daly City,1,0,0,0,0,0,0,0,1,0,"107,928"
,,Davis,8,4,1,1,0,0,1,7,4,2,"69,486"
,,Downey,0,0,1,0,0,0,0,1,0,0,"113,277"
,,Eastvale,0,1,0,0,0,0,1,0,0,0,"64,642"
,,El Cajon,3,0,1,0,0,0,1,0,2,1,"104,497"
,,El Cerrito,1,1,0,0,0,0,0,2,0,0,"25,793"
,,Elk Grove,2,0,2,0,0,0,0,1,3,0,"174,651"
,,El Monte,5,0,0,0,0,0,2,2,1,0,"116,464"
,,El Segundo,1,0,0,0,0,0,0,0,1,0,"16,881"
,,Encinitas,0,3,0,0,0,0,2,0,0,1,"63,700"
,,Escalon,1,0,0,0,0,0,0,0,0,1,"7,653"
,,Escondido,2,0,0,0,0,0,1,1,0,0,"153,073"
,,Eureka,0,0,1,0,0,0,0,1,0,0,"27,174"
,,Fairfield,1,0,1,0,0,0,0,1,0,1,"117,883"
,,Fillmore,0,0,1,0,0,0,0,0,1,0,"15,928"
,,Folsom,1,0,0,0,0,0,1,0,0,0,"78,916"
,,Fontana,1,0,0,0,0,0,0,0,1,0,"213,964"
,,Fort Bragg,0,1,0,0,0,0,1,0,0,0,"7,317"
,,Foster City,0,2,0,0,0,0,0,0,0,2,"34,993"
,,Fountain Valley,0,0,1,0,0,0,1,0,0,0,"56,433"
,,Fremont,6,0,0,0,0,0,4,1,1,0,"238,024"
,,Fresno,19,3,5,0,0,0,5,0,8,14,"531,818"
,,Galt,1,0,0,0,0,0,0,1,0,0,"26,548"
,,Gardena,0,1,1,0,0,0,2,0,0,0,"60,423"
,,Garden Grove,1,0,0,0,0,0,0,0,1,0,"174,661"
,,Glendale,4,0,0,0,0,0,3,0,0,1,"204,724"
,,Glendora,1,0,0,0,0,0,1,0,0,0,"52,727"
,,Gridley,1,0,0,0,0,0,1,0,0,0,"6,612"
,,Hawaiian Gardens,2,0,0,0,0,0,0,0,1,1,"14,474"
,,Hawthorne,3,2,1,0,0,0,0,0,2,4,"88,372"
,,Hayward,3,1,0,0,0,0,1,1,1,1,"162,881"
,,Hemet,1,0,0,0,0,0,1,0,0,0,"86,047"
,,Hesperia,1,0,0,0,0,0,0,1,0,0,"95,519"
,,Huntington Beach,2,2,0,0,0,0,0,1,2,1,"203,428"
,,Huntington Park,3,0,1,0,0,0,1,0,2,1,"58,922"
,,Imperial Beach,1,0,0,0,0,0,0,0,0,1,"27,569"
,,Inglewood,1,0,0,0,0,0,0,1,0,0,"110,726"
,,Irvine,1,1,0,0,0,0,0,0,1,1,"288,052"
,,Jurupa Valley,1,0,0,0,0,0,0,0,1,0,"107,605"
,,Laguna Woods,0,0,1,0,0,0,0,0,1,0,"16,219"
,,Lakeport,0,0,1,0,0,0,0,1,0,0,"4,763"
,,La Mesa,1,0,0,0,0,0,1,0,0,0,"60,442"
,,Lancaster,9,0,2,0,0,0,1,3,4,3,"160,818"
,,Lawndale,1,0,0,0,0,0,0,0,0,1,"33,121"
,,Livermore,3,2,1,0,0,0,1,3,1,1,"91,612"
,,Lodi,1,1,0,0,0,0,0,0,1,1,"66,416"
,,Long Beach,6,0,3,0,0,0,2,2,3,2,"470,445"
,,Los Angeles3,136,63,74,0,0,10,45,78,89,70,"4,029,741"
