State,Agency type,Agency name,Agency unit,"Race/Ethnicity/Ancestry",Religion,"Sexual_orientation",Disability,Gender,"Gender_identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population1
Alabama,Total,,,22,5,1,0,0,0,,,,,
,Cities,,,8,5,1,0,0,0,,,,,
,,Bayou La Batre,,1,0,0,0,0,0,0,1, , ,"2,466"
,,Birmingham,,1,1,0,0,0,0,1,1, , ,"209,081"
,,Carrollton,,1,0,0,0,0,0,0,1, , ,935
,,Dora,,0,1,0,0,0,0,1,0, , ,"1,890"
,,Evergreen,,1,0,0,0,0,0,0,1, , ,"3,482"
,,Fayette,,1,0,0,0,0,0,0,1, , ,"4,239"
,,Hoover,,0,1,0,0,0,0,0,1,0,0,"86,321"
,,Linden,,0,0,1,0,0,0,0,1, , ,"1,856"
,,Margaret,,1,0,0,0,0,0,1,0, , ,"5,222"
,,Mobile2,,1,2,0,0,0,0,1,1, , ,"243,900"
,,Tuskegee,,1,0,0,0,0,0,0,1, , ,"7,973"
,Metropolitan Counties,,,9,0,0,0,0,0,,,,,
,,Etowah,,1,0,0,0,0,0,1,0, , ,
,,Washington,,8,0,0,0,0,0,8,0, , ,
,Nonmetropolitan Counties,,,5,0,0,0,0,0,,,,,
,,Crenshaw,,1,0,0,0,0,0,1,0, , ,
,,Dallas,,1,0,0,0,0,0,1,0, , ,
,,DeKalb,,2,0,0,0,0,0,1,1, , ,
,,Walker,,1,0,0,0,0,0,0,1, , ,
Alaska,Total,,,5,0,1,0,2,1,,,,,
,Cities,,,5,0,1,0,2,1,,,,,
,,Anchorage,,3,0,1,0,1,0,0,2,2,1,"286,388"
,,Fairbanks,,0,0,0,0,0,1,1, ,0,0,"30,832"
,,Juneau,,2,0,0,0,0,0,0,1,1,0,"31,925"
,,North Pole,,0,0,0,0,1,0,0,1,0,0,"2,090"
Arizona,Total,,,202,37,34,2,1,7,,,,,
,Cities,,,178,30,32,1,1,6,,,,,
,,Apache Junction,,1,0,0,0,0,0,0,0,0,1,"43,385"
,,Casa Grande,,2,1,0,0,0,0,0,0,2,1,"59,822"
,,Chandler,,2,2,0,0,0,0,2,0,1,1,"264,071"
,,Fredonia,,0,0,1,0,0,0,0,0,0,1,"1,275"
,,Gilbert,,3,2,1,0,0,0,1,1,2,2,"259,629"
,,Glendale,,6,0,1,0,0,0,2,2,3,0,"255,468"
,,Maricopa,,0,0,1,0,0,0,1,0,0,0,"53,165"
,,Mesa,,7,2,0,0,0,1,2,3,5,0,"527,361"
,,Page,,1,0,0,0,0,0,0,1,0,0,"7,546"
,,Payson,,1,0,0,0,0,0,0,1,0,0,"15,869"
,,Peoria,,2,0,0,0,0,0,0,1,0,1,"178,486"
,,Phoenix2,,140,17,28,0,1,3,24,47,65,51,"1,708,960"
,,Prescott,,1,0,0,0,0,0,0,0,1,0,"44,835"
,,San Luis,,0,1,0,0,0,1,1,0,0,1,"35,574"
,,Scottsdale,,1,1,0,0,0,0,0,0,0,2,"263,006"
,,Sierra Vista,,0,0,0,0,0,1,0,0,0,1,"42,800"
,,Somerton,,0,1,0,0,0,0,1,0,0,0,"16,811"
,,Surprise,,3,0,0,0,0,0,0,1,1,1,"144,620"
,,Tempe,,3,0,0,0,0,0,0,2,1, ,"199,935"
,,Williams,,1,0,0,0,0,0, , ,1,0,"3,271"
,,Yuma,,4,3,0,1,0,0,1,5,1,1,"99,096"
,Metropolitan Counties,,,24,7,2,1,0,1,,,,,
,,Coconino,,1,0,0,0,0,0,0,0,1,0,
,,Pima2,,20,4,2,0,0,1,2,6,6,12,
,,Yavapai,,2,1,0,0,0,0,2,1,0, ,
,,Yuma,,1,2,0,1,0,0,1,1,1,1,
Arkansas,Total,,,13,2,4,0,0,0,,,,,
,Cities,,,12,1,4,0,0,0,,,,,
,,Conway,,1,1,0,0,0,0,0,2,0,0,"68,599"
,,Fort Smith,,5,0,1,0,0,0,1,4,0,1,"88,071"
,,Paragould,,1,0,1,0,0,0,1,0,0,1,"29,288"
,,Rogers,,4,0,1,0,0,0,0,1,4,0,"70,194"
,,Sherwood,,1,0,0,0,0,0,0,0,1,0,"31,636"
,,Van Buren,,0,0,1,0,0,0,0,0,0,1,"23,779"
,Universities and Colleges,,,1,0,0,0,0,0,,,,,
,,University of Arkansas,Medical Sciences,1,0,0,0,0,0,0,1,0,0,"2,996"
,Metropolitan Counties,,,0,1,0,0,0,0,,,,,
,,Sebastian,,0,1,0,0,0,0,0,1,0,0,
California,Total,,,882,181,210,5,3,59,,,,,
,Cities,,,790,160,188,4,2,57,,,,,
,,Alameda,,5,0,0,0,0,0,0,0,4,1,"78,047"
,,Albany,,3,0,0,0,0,0,0,0,1,2,"19,830"
,,Alhambra,,1,0,0,0,0,0,0,1,0,0,"83,817"
,,Aliso Viejo,,5,1,0,0,0,0,2,1,2,1,"51,244"
,,Antioch,,0,0,0,0,0,1,0,0,1,0,"112,481"
,,Arcadia,,2,0,0,0,0,0,0,0,2,0,"58,122"
,,Arcata,,0,0,1,0,0,0,0,0,0,1,"18,516"
,,Atwater,,1,0,0,0,0,0,0,0,1,0,"29,704"
