State,SEX,ORIGIN,RACE,AGEGRP,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Alabama,0,0,0,0,4447207,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938
Alabama,0,0,0,1,296000,296624,296046,295204,295970,296441,297222,300300,304842,305412
Alabama,0,0,0,2,315369,307526,302632,299148,297554,298450,303581,306013,306682,307864
Alabama,0,0,0,3,320266,323615,325008,326642,326228,323028,321867,320407,319503,319072
Alabama,0,0,0,4,324583,321866,320749,321655,325095,330753,337003,341279,345580,346611
Alabama,0,0,0,5,306876,318741,322812,326983,326749,326727,326239,327293,328751,332117
Alabama,0,0,0,6,301197,286763,281003,280387,283864,290568,302813,307619,311504,312199
Alabama,0,0,0,7,301842,302186,302668,302722,299896,295263,288248,286033,287272,293352
Alabama,0,0,0,8,340313,330870,321114,312160,305558,303456,308663,312470,313869,312797
Alabama,0,0,0,9,345218,347133,345023,343191,342253,339299,334043,326486,318765,313852
Alabama,0,0,0,10,315164,323347,330998,337237,340768,344392,348601,348251,348148,348256
Alabama,0,0,0,11,285027,300108,298908,302120,307605,314839,323309,332544,340006,344478
Alabama,0,0,0,12,225445,231202,248643,258551,270380,284084,297745,298032,301833,307017
Alabama,0,0,0,13,190093,193822,198880,207119,214983,220403,226567,244043,254507,265870
Alabama,0,0,0,14,167975,169261,170495,173635,176683,179942,184594,189797,198122,205667
Alabama,0,0,0,15,148785,149001,147964,147332,147028,149085,151454,152814,156112,159088
Alabama,0,0,0,16,118111,118750,119599,120741,120322,120923,122066,121729,121862,121679
Alabama,0,0,0,17,77644,79883,81123,83097,84290,84762,85688,86812,88254,88283
Alabama,0,0,0,18,67299,66936,66424,65567,65503,67390,69278,70918,72594,74324
Alabama,0,0,1,0,3195561,3201387,3204279,3215079,3227772,3249443,3283056,3308005,3332141,3353244
Alabama,0,0,1,1,194647,194930,194682,194686,195233,196312,196984,198515,200129,198189
Alabama,0,0,1,2,203955,198914,196031,194349,193259,193921,197109,198868,199651,200349
Alabama,0,0,1,3,209483,210116,209972,209861,209104,207114,206548,206337,206413,206498
Alabama,0,0,1,4,210974,208709,208050,208760,210632,213716,216455,218360,220349,221189
Alabama,0,0,1,5,204671,212010,213914,215468,214983,214295,213305,214501,215640,217952
Alabama,0,0,1,6,211212,199193,194097,193012,194545,198068,205752,208127,209793,209960
Alabama,0,0,1,7,217700,217900,217041,215617,211641,206608,199827,196868,196933,199838
Alabama,0,0,1,8,247158,238926,231618,225061,220016,218281,221889,223330,222845,220042
Alabama,0,0,1,9,249300,250667,249061,247225,246640,244384,239538,233994,228144,224364
Alabama,0,0,1,10,230575,235280,239848,243732,245663,247691,250818,250660,250395,250697
Alabama,0,0,1,11,219209,228029,223591,223317,225634,229811,234617,240434,245195,247784
Alabama,0,0,1,12,179878,183535,197173,203170,210285,218225,226145,222885,223021,225257
Alabama,0,0,1,13,151883,154790,158968,166000,171811,175843,179902,193456,200058,206920
Alabama,0,0,1,14,134704,135317,136157,138828,141560,143888,147649,151943,158879,164576
Alabama,0,0,1,15,119772,120119,119254,118564,118199,120088,121779,122687,125366,128306
Alabama,0,0,1,16,95735,95955,96584,97834,97638,98083,99203,98975,98856,98947
Alabama,0,0,1,17,62739,64852,66107,67548,68738,69246,69922,70875,72225,72443
Alabama,0,0,1,18,51966,52145,52131,52047,52191,53869,55614,57190,58249,59933
Alabama,0,0,2,0,1158988,1167403,1171672,1178398,1186375,1197062,1215481,1227620,1241613,1252307
Alabama,0,0,2,1,92564,91959,91109,89533,88874,87583,86833,87258,89117,90699
Alabama,0,0,2,2,103572,100145,97561,95150,93841,93163,94306,94274,93301,92938
Alabama,0,0,2,3,103275,105523,106597,107823,107632,105940,104665,102715,100869,99489
Alabama,0,0,2,4,105633,104833,104148,104131,105482,107560,110475,112218,113900,113490
Alabama,0,0,2,5,94554,98344,99769,101649,101409,101454,101732,101358,101305,102023
Alabama,0,0,2,6,82507,80015,79119,79192,80457,83148,86932,88772,90442,90471
Alabama,0,0,2,7,77260,76957,77728,78651,79061,78934,78443,78899,79759,82063
Alabama,0,0,2,8,85818,84297,81784,79261,77389,76720,77759,79397,80865,81827
Alabama,0,0,2,9,88581,88855,88045,87776,87139,86210,85392,83381,81226,79749
Alabama,0,0,2,10,78242,81329,83949,85831,87081,88338,89081,88640,88559,88035
Alabama,0,0,2,11,60397,66083,69228,72513,75411,78017,81318,84281,86485,88083
Alabama,0,0,2,12,41631,43408,46738,50233,54595,59899,65114,68518,71980,74648
Alabama,0,0,2,13,35532,36059,36691,37640,39396,40469,42353,45824,49323,53430
Alabama,0,0,2,14,31250,31813,32066,32387,32547,33313,33918,34589,35693,37232
Alabama,0,0,2,15,27501,27274,27044,27006,26999,27075,27677,28009,28488,28370
Alabama,0,0,2,16,21414,21757,21885,21709,21443,21515,21488,21301,21511,21182
Alabama,0,0,2,17,14351,14419,14389,14881,14834,14769,14940,15071,15110,14864
Alabama,0,0,2,18,14906,14333,13822,13032,12785,12955,13055,13115,13680,13714
Alabama,0,0,3,0,22967,24084,24966,25920,26755,27606,28666,29666,30722,31825
Alabama,0,0,3,1,1404,1429,1408,1479,1496,1461,1607,1692,1820,2112
Alabama,0,0,3,2,1749,1794,1840,1854,1935,1988,1999,2117,2270,2373
Alabama,0,0,3,3,1967,2081,2119,2197,2251,2243,2264,2347,2348,2409
Alabama,0,0,3,4,2262,2292,2324,2344,2307,2389,2456,2474,2562,2588
Alabama,0,0,3,5,1873,2130,2259,2355,2417,2488,2479,2504,2516,2447
Alabama,0,0,3,6,1646,1647,1676,1799,1973,2039,2266,2409,2477,2566
