,State,Temperature,Year
0,Georgia,64.0,2004
1,Georgia,63.8,2005
2,Georgia,64.5,2006
3,Georgia,64.8,2007
4,Georgia,63.5,2008
5,Georgia,63.4,2009
6,Georgia,63.0,2010
7,Georgia,64.6,2011
8,Georgia,65.5,2012
9,Georgia,63.4,2013
10,Georgia,63.0,2014
11,Georgia,65.3,2015
12,Georgia,65.8,2016
13,Georgia,65.8,2017
14,Georgia,65.1,2018
15,Georgia,66.2,2019
16,Georgia,65.6,2020
17,North Carolina,59.3,2004
18,North Carolina,59.4,2005
19,North Carolina,59.8,2006
20,North Carolina,60.5,2007
21,North Carolina,59.3,2008
22,North Carolina,58.9,2009
23,North Carolina,59.0,2010
24,North Carolina,60.4,2011
25,North Carolina,60.7,2012
26,North Carolina,58.6,2013
27,North Carolina,58.4,2014
28,North Carolina,60.5,2015
29,North Carolina,60.8,2016
30,North Carolina,61.0,2017
31,North Carolina,60.4,2018
32,North Carolina,61.3,2019
33,North Carolina,60.8,2020
34,Wyoming,42.4,2004
35,Wyoming,42.8,2005
36,Wyoming,43.2,2006
37,Wyoming,43.3,2007
38,Wyoming,40.7,2008
39,Wyoming,40.9,2009
40,Wyoming,42.0,2010
41,Wyoming,41.1,2011
42,Wyoming,44.8,2012
43,Wyoming,41.7,2013
44,Wyoming,42.1,2014
45,Wyoming,44.2,2015
46,Wyoming,43.9,2016
47,Wyoming,43.2,2017
48,Wyoming,42.4,2018
49,Wyoming,40.3,2019
50,Wyoming,42.8,2020
51,New Hampshire,43.0,2004
52,New Hampshire,44.0,2005
53,New Hampshire,45.8,2006
54,New Hampshire,43.1,2007
55,New Hampshire,43.8,2008
56,New Hampshire,43.0,2009
57,New Hampshire,46.0,2010
58,New Hampshire,44.9,2011
59,New Hampshire,46.6,2012
60,New Hampshire,44.2,2013
61,New Hampshire,43.0,2014
62,New Hampshire,43.6,2015
63,New Hampshire,45.7,2016
64,New Hampshire,44.9,2017
65,New Hampshire,44.4,2018
66,New Hampshire,43.2,2019
67,New Hampshire,45.8,2020
68,Wisconsin,43.5,2004
69,Wisconsin,45.1,2005
70,Wisconsin,46.0,2006
71,Wisconsin,44.7,2007
72,Wisconsin,41.8,2008
73,Wisconsin,42.4,2009
74,Wisconsin,45.5,2010
75,Wisconsin,44.1,2011
76,Wisconsin,47.4,2012
77,Wisconsin,41.8,2013
78,Wisconsin,40.2,2014
79,Wisconsin,44.8,2015
80,Wisconsin,46.2,2016
81,Wisconsin,44.7,2017
82,Wisconsin,43.2,2018
83,Wisconsin,42.1,2019
84,Wisconsin,44.8,2020
85,Minnesota,41.3,2004
86,Minnesota,43.1,2005
87,Minnesota,44.4,2006
88,Minnesota,42.4,2007
89,Minnesota,39.4,2008
90,Minnesota,40.1,2009
91,Minnesota,42.8,2010
92,Minnesota,42.0,2011
93,Minnesota,45.2,2012
94,Minnesota,39.3,2013
95,Minnesota,38.6,2014
96,Minnesota,43.5,2015
97,Minnesota,44.6,2016
98,Minnesota,42.6,2017
99,Minnesota,40.6,2018
100,Minnesota,39.3,2019
101,Minnesota,42.4,2020
102,Maryland,55.2,2004
103,Maryland,55.2,2005
104,Maryland,56.5,2006
105,Maryland,55.7,2007
106,Maryland,55.3,2008
107,Maryland,54.6,2009
108,Maryland,55.8,2010
109,Maryland,56.5,2011
110,Maryland,57.5,2012
111,Maryland,54.7,2013
112,Maryland,53.6,2014
113,Maryland,55.4,2015
114,Maryland,56.5,2016
115,Maryland,56.7,2017
116,Maryland,55.9,2018
117,Maryland,56.6,2019
118,Maryland,57.2,2020
119,Pennsylvania,49.1,2004
120,Pennsylvania,49.5,2005
121,Pennsylvania,50.8,2006
122,Pennsylvania,49.5,2007
123,Pennsylvania,48.8,2008
124,Pennsylvania,48.4,2009
125,Pennsylvania,50.1,2010
126,Pennsylvania,50.4,2011
127,Pennsylvania,51.8,2012
128,Pennsylvania,49.0,2013
129,Pennsylvania,47.4,2014
130,Pennsylvania,49.5,2015
131,Pennsylvania,50.9,2016
132,Pennsylvania,50.6,2017
133,Pennsylvania,49.8,2018
134,Pennsylvania,49.9,2019
135,Pennsylvania,51.2,2020
136,Texas,65.2,2004
137,Texas,66.0,2005
138,Texas,67.1,2006
139,Texas,64.8,2007
140,Texas,65.5,2008
141,Texas,65.8,2009
142,Texas,65.1,2010
143,Texas,67.3,2011
144,Texas,67.8,2012
145,Texas,65.1,2013
146,Texas,64.8,2014
147,Texas,65.8,2015
148,Texas,67.2,2016
149,Texas,67.3,2017
150,Texas,66.0,2018
151,Texas,65.9,2019
152,Texas,66.9,2020
153,Florida,70.8,2004
154,Florida,70.8,2005
155,Florida,71.4,2006
156,Florida,71.8,2007
157,Florida,70.8,2008
158,Florida,71.2,2009
159,Florida,69.2,2010
160,Florida,71.7,2011
161,Florida,71.9,2012
162,Florida,71.7,2013
163,Florida,70.6,2014
164,Florida,73.4,2015
165,Florida,72.5,2016
166,Florida,72.8,2017
167,Florida,72.3,2018
168,Florida,73.2,2019
169,Florida,73.2,2020
170,Michigan,44.6,2004
171,Michigan,46.0,2005
172,Michigan,47.0,2006
173,Michigan,46.1,2007
174,Michigan,44.0,2008
175,Michigan,43.8,2009
176,Michigan,47.1,2010
177,Michigan,45.6,2011
178,Michigan,48.4,2012
179,Michigan,44.1,2013
180,Michigan,41.9,2014
181,Michigan,45.1,2015
182,Michigan,47.4,2016
183,Michigan,46.3,2017
184,Michigan,45.1,2018
185,Michigan,43.9,2019
186,Michigan,46.5,2020
187,Tennessee,58.5,2004
188,Tennessee,58.8,2005
189,Tennessee,58.9,2006
190,Tennessee,59.9,2007
191,Tennessee,57.6,2008
192,Tennessee,57.6,2009
193,Tennessee,57.9,2010
194,Tennessee,58.9,2011
195,Tennessee,60.3,2012
196,Tennessee,57.1,2013
197,Tennessee,56.6,2014
198,Tennessee,59.0,2015
199,Tennessee,60.3,2016
200,Tennessee,60.0,2017
201,Tennessee,59.1,2018
202,Tennessee,59.8,2019
203,Tennessee,59.3,2020
204,Arkansas,61.0,2004
205,Arkansas,62.0,2005
